/home/user/anaconda3/lib/python3.12/site-packages/stable_baselines3/common/on_policy_algorithm.py:150: UserWarning: You are trying to run PPO on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
[v3.1 env init] xvel_boost_multiplier = 5.0
[v3.1 env init] Ours reward weights = {'alpha_W_pos': 0.3, 'alpha_W_neg': 0.6, 'alpha_E_damp': 0.5, 'alpha_E_fric': 0.5, 'alpha_E_norm': 1.0}
[v3.1 env init] xvel_boost_multiplier = 5.0
[v3.1 env init] Ours reward weights = {'alpha_W_pos': 0.3, 'alpha_W_neg': 0.6, 'alpha_E_damp': 0.5, 'alpha_E_fric': 0.5, 'alpha_E_norm': 1.0}
[v3.1 env init] xvel_boost_multiplier = 5.0
[v3.1 env init] Ours reward weights = {'alpha_W_pos': 0.3, 'alpha_W_neg': 0.6, 'alpha_E_damp': 0.5, 'alpha_E_fric': 0.5, 'alpha_E_norm': 1.0}
[v3.1 env init] xvel_boost_multiplier = 5.0
[v3.1 env init] Ours reward weights = {'alpha_W_pos': 0.3, 'alpha_W_neg': 0.6, 'alpha_E_damp': 0.5, 'alpha_E_fric': 0.5, 'alpha_E_norm': 1.0}
Using cuda device
Logging to logs/w3_ours_v3.1/seed1/tb_logs/PPO_1
---------------------------------
| energy/            |          |
|    explained_variance   | -2.56e-05    |
|    learning_rate        | 0.0003       |
|    loss                 | 101          |
|    n_updates            | 80           |
|    policy_gradient_loss | -0.0184      |
|    std                  | 0.999        |
|    value_loss           | 312          |
------------------------------------------
------------------------------------------
| energy/                 |              |
|    E_damp_J             | 0.119        |
|    E_fric_J             | 0.0223       |
|    E_norm_J             | 0.0102       |
|    W_neg_J              | 0.126        |
|    W_pos_J              | 0.278        |
| reward/                 |              |
|    r_energy             | -0.24        |
| rollout/                |              |
|    ep_len_mean          | 82           |
|    ep_rew_mean          | -149         |
| time/                   |              |
|    fps                  | 48           |
|    iterations           | 10           |
|    time_elapsed         | 850          |
|    total_timesteps      | 40960        |
| train/                  |              |
|    approx_kl            | 0.0103586875 |
|    clip_fraction        | 0.124        |
|    clip_range           | 0.2          |
|    entropy_loss         | -14.2        |
|    explained_variance   | -2.98e-05    |
|    learning_rate        | 0.0003       |
|    loss                 | 83           |
|    n_updates            | 90           |
|    policy_gradient_loss | -0.0178      |
|    std                  | 0.999        |
|    value_loss           | 263          |
------------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0878      |
|    E_fric_J             | 0.0218      |
|    E_norm_J             | 0.00974     |
|    W_neg_J              | 0.11        |
|    W_pos_J              | 0.22        |
| reward/                 |             |
|    r_energy             | -0.196      |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -146        |
| time/                   |             |
|    fps                  | 48          |
|    iterations           | 11          |
|    time_elapsed         | 935         |
|    total_timesteps      | 45056       |
| train/                  |             |
|    approx_kl            | 0.012227722 |
|    clip_fraction        | 0.14        |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.1       |
|    explained_variance   | -2.46e-05   |
|    learning_rate        | 0.0003      |
|    loss                 | 63.6        |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.0193     |
|    std                  | 0.995       |
|    value_loss           | 209         |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0914      |
|    E_fric_J             | 0.0192      |
|    E_norm_J             | 0.00885     |
|    W_neg_J              | 0.107       |
|    W_pos_J              | 0.215       |
| reward/                 |             |
|    r_energy             | -0.192      |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -141        |
| time/                   |             |
|    fps                  | 48          |
|    iterations           | 12          |
|    time_elapsed         | 1021        |
|    total_timesteps      | 49152       |
| train/                  |             |
|    approx_kl            | 0.013873645 |
|    clip_fraction        | 0.166       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.1       |
|    explained_variance   | -1.05e-05   |
|    learning_rate        | 0.0003      |
|    loss                 | 53.5        |
|    n_updates            | 110         |
|    policy_gradient_loss | -0.0235     |
|    std                  | 0.995       |
|    value_loss           | 167         |
-----------------------------------------
----------------------------------------
| energy/                 |            |
|    E_damp_J             | 0.0863     |
|    E_fric_J             | 0.0204     |
|    E_norm_J             | 0.00973    |
|    W_neg_J              | 0.0911     |
|    W_pos_J              | 0.228      |
| reward/                 |            |
|    r_energy             | -0.186     |
| rollout/                |            |
|    ep_len_mean          | 82         |
|    ep_rew_mean          | -135       |
| time/                   |            |
|    fps                  | 48         |
|    iterations           | 13         |
|    time_elapsed         | 1105       |
|    total_timesteps      | 53248      |
| train/                  |            |
|    approx_kl            | 0.01285886 |
|    clip_fraction        | 0.164      |
|    clip_range           | 0.2        |
|    entropy_loss         | -14.1      |
|    explained_variance   | -1.75e-05  |
|    learning_rate        | 0.0003     |
|    loss                 | 36.2       |
|    n_updates            | 120        |
|    policy_gradient_loss | -0.0235    |
|    std                  | 0.992      |
|    value_loss           | 121        |
----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0952      |
|    E_fric_J             | 0.0206      |
|    E_norm_J             | 0.00971     |
|    W_neg_J              | 0.12        |
|    W_pos_J              | 0.219       |
| reward/                 |             |
|    r_energy             | -0.205      |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -130        |
| time/                   |             |
|    fps                  | 48          |
|    iterations           | 14          |
|    time_elapsed         | 1189        |
|    total_timesteps      | 57344       |
| train/                  |             |
|    approx_kl            | 0.014883891 |
|    clip_fraction        | 0.182       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14.1       |
|    explained_variance   | -1.5e-05    |
|    learning_rate        | 0.0003      |
|    loss                 | 28.2        |
|    n_updates            | 130         |
|    policy_gradient_loss | -0.025      |
|    std                  | 0.986       |
|    value_loss           | 92.8        |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0875      |
|    E_fric_J             | 0.0198      |
|    E_norm_J             | 0.026       |
|    W_neg_J              | 0.102       |
|    W_pos_J              | 0.221       |
| reward/                 |             |
|    r_energy             | -0.207      |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -124        |
| time/                   |             |
|    fps                  | 48          |
|    iterations           | 15          |
|    time_elapsed         | 1273        |
|    total_timesteps      | 61440       |
| train/                  |             |
|    approx_kl            | 0.014816395 |
|    clip_fraction        | 0.158       |
|    clip_range           | 0.2         |
|    entropy_loss         | -14         |
|    explained_variance   | -6.44e-06   |
|    learning_rate        | 0.0003      |
|    loss                 | 19.6        |
|    n_updates            | 140         |
|    policy_gradient_loss | -0.0227     |
|    std                  | 0.982       |
|    value_loss           | 65.6        |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0691      |
|    E_fric_J             | 0.0168      |
|    E_norm_J             | 0.00829     |
|    W_neg_J              | 0.0873      |
|    W_pos_J              | 0.181       |
| reward/                 |             |
|    r_energy             | -0.158      |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -117        |
| time/                   |             |
|    fps                  | 48          |
|    iterations           | 16          |
|    time_elapsed         | 1358        |
|    total_timesteps      | 65536       |
| train/                  |             |
|    approx_kl            | 0.030460153 |
|    clip_fraction        | 0.21        |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.9       |
|    explained_variance   | -1.38e-05   |
|    learning_rate        | 0.0003      |
|    loss                 | 12.7        |
|    n_updates            | 150         |
|    policy_gradient_loss | -0.0249     |
|    std                  | 0.976       |
|    value_loss           | 41.4        |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0716      |
|    E_fric_J             | 0.0154      |
|    E_norm_J             | 0.0241      |
|    W_neg_J              | 0.0903      |
|    W_pos_J              | 0.177       |
| reward/                 |             |
|    r_energy             | -0.175      |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -107        |
| time/                   |             |
|    fps                  | 48          |
|    iterations           | 17          |
|    time_elapsed         | 1443        |
|    total_timesteps      | 69632       |
| train/                  |             |
|    approx_kl            | 0.026528161 |
|    clip_fraction        | 0.257       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.9       |
|    explained_variance   | -1.07e-05   |
|    learning_rate        | 0.0003      |
|    loss                 | 9.42        |
|    n_updates            | 160         |
|    policy_gradient_loss | -0.0193     |
|    std                  | 0.976       |
|    value_loss           | 23.4        |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0608      |
|    E_fric_J             | 0.0168      |
|    E_norm_J             | 0.00803     |
|    W_neg_J              | 0.0804      |
|    W_pos_J              | 0.165       |
| reward/                 |             |
|    r_energy             | -0.145      |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -101        |
| time/                   |             |
|    fps                  | 48          |
|    iterations           | 18          |
|    time_elapsed         | 1529        |
|    total_timesteps      | 73728       |
| train/                  |             |
|    approx_kl            | 0.021214694 |
|    clip_fraction        | 0.216       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.9       |
|    explained_variance   | -1.49e-05   |
|    learning_rate        | 0.0003      |
|    loss                 | 7.87        |
|    n_updates            | 170         |
|    policy_gradient_loss | -0.0226     |
|    std                  | 0.97        |
|    value_loss           | 17.5        |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0774      |
|    E_fric_J             | 0.017       |
|    E_norm_J             | 0.0245      |
|    W_neg_J              | 0.093       |
|    W_pos_J              | 0.182       |
| reward/                 |             |
|    r_energy             | -0.182      |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -91.7       |
| time/                   |             |
|    fps                  | 48          |
|    iterations           | 19          |
|    time_elapsed         | 1615        |
|    total_timesteps      | 77824       |
| train/                  |             |
|    approx_kl            | 0.018963981 |
|    clip_fraction        | 0.242       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.8       |
|    explained_variance   | -9.89e-06   |
|    learning_rate        | 0.0003      |
|    loss                 | 7.59        |
|    n_updates            | 180         |
|    policy_gradient_loss | -0.0301     |
|    std                  | 0.968       |
|    value_loss           | 17.1        |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0496      |
|    E_fric_J             | 0.0147      |
|    E_norm_J             | 0.00693     |
|    W_neg_J              | 0.0608      |
|    W_pos_J              | 0.136       |
| reward/                 |             |
|    r_energy             | -0.116      |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -84.8       |
| time/                   |             |
|    fps                  | 48          |
|    iterations           | 20          |
|    time_elapsed         | 1700        |
|    total_timesteps      | 81920       |
| train/                  |             |
|    approx_kl            | 0.018549258 |
|    clip_fraction        | 0.226       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.8       |
|    explained_variance   | -3.1e-06    |
|    learning_rate        | 0.0003      |
|    loss                 | 6.11        |
|    n_updates            | 190         |
|    policy_gradient_loss | -0.0298     |
|    std                  | 0.961       |
|    value_loss           | 13.4        |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0674      |
|    E_fric_J             | 0.0155      |
|    E_norm_J             | 0.0226      |
|    W_neg_J              | 0.0849      |
|    W_pos_J              | 0.174       |
| reward/                 |             |
|    r_energy             | -0.167      |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -79.7       |
| time/                   |             |
|    fps                  | 48          |
|    iterations           | 21          |
|    time_elapsed         | 1786        |
|    total_timesteps      | 86016       |
| train/                  |             |
|    approx_kl            | 0.016291004 |
|    clip_fraction        | 0.199       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.7       |
|    explained_variance   | -5.96e-06   |
|    learning_rate        | 0.0003      |
|    loss                 | 6.04        |
|    n_updates            | 200         |
|    policy_gradient_loss | -0.0284     |
|    std                  | 0.956       |
|    value_loss           | 11.8        |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0601      |
|    E_fric_J             | 0.0164      |
|    E_norm_J             | 0.00745     |
|    W_neg_J              | 0.0664      |
|    W_pos_J              | 0.163       |
| reward/                 |             |
|    r_energy             | -0.134      |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -73.8       |
| time/                   |             |
|    fps                  | 48          |
|    iterations           | 22          |
|    time_elapsed         | 1871        |
|    total_timesteps      | 90112       |
| train/                  |             |
|    approx_kl            | 0.016154163 |
|    clip_fraction        | 0.169       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.6       |
|    explained_variance   | -4.17e-06   |
|    learning_rate        | 0.0003      |
|    loss                 | 5.05        |
|    n_updates            | 210         |
|    policy_gradient_loss | -0.0232     |
|    std                  | 0.952       |
|    value_loss           | 11.9        |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0672      |
|    E_fric_J             | 0.0156      |
|    E_norm_J             | 0.0231      |
|    W_neg_J              | 0.0693      |
|    W_pos_J              | 0.181       |
| reward/                 |             |
|    r_energy             | -0.16       |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -69.8       |
| time/                   |             |
|    fps                  | 48          |
|    iterations           | 23          |
|    time_elapsed         | 1957        |
|    total_timesteps      | 94208       |
| train/                  |             |
|    approx_kl            | 0.014963111 |
|    clip_fraction        | 0.159       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.6       |
|    explained_variance   | -2.74e-06   |
|    learning_rate        | 0.0003      |
|    loss                 | 5.59        |
|    n_updates            | 220         |
|    policy_gradient_loss | -0.022      |
|    std                  | 0.946       |
|    value_loss           | 13.5        |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0353      |
|    E_fric_J             | 0.0124      |
|    E_norm_J             | 0.00578     |
|    W_neg_J              | 0.0447      |
|    W_pos_J              | 0.102       |
| reward/                 |             |
|    r_energy             | -0.0872     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -66.1       |
| time/                   |             |
|    fps                  | 48          |
|    iterations           | 24          |
|    time_elapsed         | 2045        |
|    total_timesteps      | 98304       |
| train/                  |             |
|    approx_kl            | 0.017409854 |
|    clip_fraction        | 0.179       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.5       |
|    explained_variance   | -7.39e-06   |
|    learning_rate        | 0.0003      |
|    loss                 | 4.85        |
|    n_updates            | 230         |
|    policy_gradient_loss | -0.0232     |
|    std                  | 0.944       |
|    value_loss           | 11.6        |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0553      |
|    E_fric_J             | 0.0135      |
|    E_norm_J             | 0.023       |
|    W_neg_J              | 0.062       |
|    W_pos_J              | 0.142       |
| reward/                 |             |
|    r_energy             | -0.137      |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -60.7       |
| time/                   |             |
|    fps                  | 48          |
|    iterations           | 25          |
|    time_elapsed         | 2133        |
|    total_timesteps      | 102400      |
| train/                  |             |
|    approx_kl            | 0.012207614 |
|    clip_fraction        | 0.123       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.5       |
|    explained_variance   | -8.58e-06   |
|    learning_rate        | 0.0003      |
|    loss                 | 3.78        |
|    n_updates            | 240         |
|    policy_gradient_loss | -0.0161     |
|    std                  | 0.943       |
|    value_loss           | 11.5        |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0285      |
|    E_fric_J             | 0.0118      |
|    E_norm_J             | 0.00572     |
|    W_neg_J              | 0.0426      |
|    W_pos_J              | 0.0829      |
| reward/                 |             |
|    r_energy             | -0.0763     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -57.6       |
| time/                   |             |
|    fps                  | 47          |
|    iterations           | 26          |
|    time_elapsed         | 2219        |
|    total_timesteps      | 106496      |
| train/                  |             |
|    approx_kl            | 0.016308691 |
|    clip_fraction        | 0.151       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.5       |
|    explained_variance   | -5.72e-06   |
|    learning_rate        | 0.0003      |
|    loss                 | 5.2         |
|    n_updates            | 250         |
|    policy_gradient_loss | -0.0185     |
|    std                  | 0.938       |
|    value_loss           | 11.1        |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0616      |
|    E_fric_J             | 0.0127      |
|    E_norm_J             | 0.0228      |
|    W_neg_J              | 0.0802      |
|    W_pos_J              | 0.152       |
| reward/                 |             |
|    r_energy             | -0.154      |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -55.1       |
| time/                   |             |
|    fps                  | 47          |
|    iterations           | 27          |
|    time_elapsed         | 2305        |
|    total_timesteps      | 110592      |
| train/                  |             |
|    approx_kl            | 0.013825563 |
|    clip_fraction        | 0.148       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.4       |
|    explained_variance   | -1.78e-05   |
|    learning_rate        | 0.0003      |
|    loss                 | 4.15        |
|    n_updates            | 260         |
|    policy_gradient_loss | -0.0193     |
|    std                  | 0.936       |
|    value_loss           | 10.7        |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0276      |
|    E_fric_J             | 0.0115      |
|    E_norm_J             | 0.00545     |
|    W_neg_J              | 0.0338      |
|    W_pos_J              | 0.0802      |
| reward/                 |             |
|    r_energy             | -0.0693     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -52.2       |
| time/                   |             |
|    fps                  | 47          |
|    iterations           | 28          |
|    time_elapsed         | 2391        |
|    total_timesteps      | 114688      |
| train/                  |             |
|    approx_kl            | 0.015556164 |
|    clip_fraction        | 0.153       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.4       |
|    explained_variance   | 0.0115      |
|    learning_rate        | 0.0003      |
|    loss                 | 3.14        |
|    n_updates            | 270         |
|    policy_gradient_loss | -0.0182     |
|    std                  | 0.934       |
|    value_loss           | 8.12        |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0476      |
|    E_fric_J             | 0.0115      |
|    E_norm_J             | 0.021       |
|    W_neg_J              | 0.0521      |
|    W_pos_J              | 0.129       |
| reward/                 |             |
|    r_energy             | -0.121      |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -48.7       |
| time/                   |             |
|    fps                  | 47          |
|    iterations           | 29          |
|    time_elapsed         | 2477        |
|    total_timesteps      | 118784      |
| train/                  |             |
|    approx_kl            | 0.015492504 |
|    clip_fraction        | 0.177       |
|    clip_range           | 0.2         |
|    entropy_loss         | -13.3       |
|    explained_variance   | 0.0229      |
|    learning_rate        | 0.0003      |
|    loss                 | 3.14        |
|    n_updates            | 280         |
|    policy_gradient_loss | -0.0204     |
|    std                  | 0.93        |
|    value_loss           | 7.7         |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
